09:17:38 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
09:17:59   loaded 20/72 episodes
09:18:10   loaded 40/72 episodes
09:18:18   loaded 60/72 episodes
09:18:26 25509 train rows, 2767 val rows, frames at 128 px
10:28:33   val l1 0.0355 (best 0.0303)  -> last.pt
10:28:40 step   5525  loss 0.0464  l1 0.0360  kl 0.001  0.76s/step  eta 3.1h
10:28:47 step   5550  loss 0.0442  l1 0.0336  kl 0.001  0.76s/step  eta 3.1h
10:28:53 step   5575  loss 0.0425  l1 0.0325  kl 0.001  0.76s/step  eta 3.0h
10:29:02 step   5600  loss 0.0413  l1 0.0318  kl 0.001  0.76s/step  eta 3.0h
10:29:10 step   5625  loss 0.0423  l1 0.0319  kl 0.001  0.75s/step  eta 3.0h
10:29:18 step   5650  loss 0.0417  l1 0.0329  kl 0.001  0.75s/step  eta 3.0h
10:29:25 step   5675  loss 0.0435  l1 0.0341  kl 0.001  0.75s/step  eta 3.0h
10:29:33 step   5700  loss 0.0393  l1 0.0300  kl 0.001  0.75s/step  eta 3.0h
10:29:39 step   5725  loss 0.0422  l1 0.0335  kl 0.001  0.75s/step  eta 3.0h
10:29:47 step   5750  loss 0.0427  l1 0.0326  kl 0.001  0.74s/step  eta 2.9h
10:29:48   val l1 0.0322 (best 0.0303)  -> last.pt
10:29:55 step   5775  loss 0.0431  l1 0.0333  kl 0.001  0.74s/step  eta 2.9h
10:30:02 step   5800  loss 0.0418  l1 0.0331  kl 0.001  0.74s/step  eta 2.9h
10:30:10 step   5825  loss 0.0423  l1 0.0334  kl 0.001  0.74s/step  eta 2.9h
10:30:17 step   5850  loss 0.0395  l1 0.0312  kl 0.001  0.74s/step  eta 2.9h
10:30:25 step   5875  loss 0.0440  l1 0.0344  kl 0.001  0.74s/step  eta 2.9h
10:30:32 step   5900  loss 0.0426  l1 0.0334  kl 0.001  0.73s/step  eta 2.9h
10:30:39 step   5925  loss 0.0429  l1 0.0339  kl 0.001  0.73s/step  eta 2.9h
10:30:46 step   5950  loss 0.0421  l1 0.0332  kl 0.001  0.73s/step  eta 2.8h
10:30:54 step   5975  loss 0.0417  l1 0.0337  kl 0.001  0.73s/step  eta 2.8h
10:31:01 step   6000  loss 0.0407  l1 0.0330  kl 0.001  0.73s/step  eta 2.8h
10:31:04   val l1 0.0277 (best 0.0277)  *  -> last.pt
10:31:11 step   6025  loss 0.0435  l1 0.0341  kl 0.001  0.72s/step  eta 2.8h
10:31:18 step   6050  loss 0.0386  l1 0.0301  kl 0.001  0.72s/step  eta 2.8h
10:31:25 step   6075  loss 0.0412  l1 0.0332  kl 0.001  0.72s/step  eta 2.8h
10:31:33 step   6100  loss 0.0406  l1 0.0328  kl 0.001  0.72s/step  eta 2.8h
10:31:40 step   6125  loss 0.0383  l1 0.0304  kl 0.001  0.72s/step  eta 2.8h
10:31:48 step   6150  loss 0.0407  l1 0.0336  kl 0.001  0.72s/step  eta 2.8h
10:31:55 step   6175  loss 0.0380  l1 0.0301  kl 0.001  0.71s/step  eta 2.7h
10:32:02 step   6200  loss 0.0397  l1 0.0317  kl 0.001  0.71s/step  eta 2.7h
10:32:09 step   6225  loss 0.0377  l1 0.0302  kl 0.001  0.71s/step  eta 2.7h
10:32:17 step   6250  loss 0.0375  l1 0.0302  kl 0.001  0.71s/step  eta 2.7h
10:32:19   val l1 0.0267 (best 0.0267)  *  -> last.pt
10:32:26 step   6275  loss 0.0389  l1 0.0314  kl 0.001  0.71s/step  eta 2.7h
10:32:33 step   6300  loss 0.0382  l1 0.0310  kl 0.001  0.71s/step  eta 2.7h
10:32:41 step   6325  loss 0.0373  l1 0.0301  kl 0.001  0.70s/step  eta 2.7h
10:32:48 step   6350  loss 0.0381  l1 0.0295  kl 0.001  0.70s/step  eta 2.7h
10:32:54 step   6375  loss 0.0380  l1 0.0306  kl 0.001  0.70s/step  eta 2.7h
10:33:01 step   6400  loss 0.0373  l1 0.0303  kl 0.001  0.70s/step  eta 2.6h
