01:08:43 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
01:08:46   loaded 10/72 episodes
01:08:49   loaded 20/72 episodes
01:08:52   loaded 30/72 episodes
01:08:55   loaded 40/72 episodes
01:08:58   loaded 50/72 episodes
01:09:00   loaded 60/72 episodes
01:09:03   loaded 70/72 episodes
01:09:06 25509 train rows, 2767 val rows, frames at 128 px
03:42:01 step   3650  loss 0.0671  l1 0.0362  kl 0.003  2.51s/step  eta 11.4h
03:42:11 step   3675  loss 0.0655  l1 0.0379  kl 0.003  2.50s/step  eta 11.3h
03:42:22 step   3700  loss 0.0660  l1 0.0379  kl 0.003  2.49s/step  eta 11.3h
04:00:12 step   3725  loss 0.0663  l1 0.0378  kl 0.003  2.76s/step  eta 12.5h
04:17:14 step   3750  loss 0.0665  l1 0.0382  kl 0.003  3.01s/step  eta 13.6h
04:34:12   val l1 0.0338 (best 0.0338)  *  -> last.pt
04:50:45 step   3775  loss 0.0669  l1 0.0380  kl 0.003  3.52s/step  eta 15.9h
05:24:27 step   3800  loss 0.0621  l1 0.0353  kl 0.003  4.03s/step  eta 18.1h
05:42:11 step   3825  loss 0.0639  l1 0.0360  kl 0.003  4.28s/step  eta 19.2h
06:15:05 step   3850  loss 0.0656  l1 0.0382  kl 0.003  4.77s/step  eta 21.4h
06:50:49 step   3875  loss 0.0666  l1 0.0383  kl 0.003  5.29s/step  eta 23.7h
07:11:00 step   3900  loss 0.0636  l1 0.0368  kl 0.003  5.57s/step  eta 24.9h
07:11:15 step   3925  loss 0.0634  l1 0.0350  kl 0.003  5.54s/step  eta 24.7h
07:11:28 step   3950  loss 0.0626  l1 0.0368  kl 0.003  5.50s/step  eta 24.5h
07:11:39 step   3975  loss 0.0604  l1 0.0374  kl 0.002  5.47s/step  eta 24.4h
07:29:37 step   4000  loss 0.0582  l1 0.0344  kl 0.002  5.71s/step  eta 25.4h
07:29:39   val l1 0.0339 (best 0.0338)  -> last.pt
08:01:14 step   4025  loss 0.0622  l1 0.0380  kl 0.002  6.14s/step  eta 27.3h
08:17:59 step   4050  loss 0.0607  l1 0.0356  kl 0.003  6.35s/step  eta 28.2h
08:21:40 step   4075  loss 0.0588  l1 0.0359  kl 0.002  6.37s/step  eta 28.2h
08:21:45 step   4100  loss 0.0601  l1 0.0381  kl 0.002  6.33s/step  eta 28.0h
08:21:48 step   4125  loss 0.0595  l1 0.0372  kl 0.002  6.29s/step  eta 27.8h
08:21:51 step   4150  loss 0.0578  l1 0.0357  kl 0.002  6.26s/step  eta 27.5h
08:21:54 step   4175  loss 0.0579  l1 0.0374  kl 0.002  6.22s/step  eta 27.3h
08:21:58 step   4200  loss 0.0567  l1 0.0359  kl 0.002  6.18s/step  eta 27.1h
08:22:01 step   4225  loss 0.0562  l1 0.0351  kl 0.002  6.15s/step  eta 26.9h
08:22:04 step   4250  loss 0.0548  l1 0.0353  kl 0.002  6.11s/step  eta 26.7h
08:22:05   val l1 0.0320 (best 0.0320)  *  -> last.pt
08:22:08 step   4275  loss 0.0522  l1 0.0314  kl 0.002  6.08s/step  eta 26.5h
08:22:11 step   4300  loss 0.0532  l1 0.0335  kl 0.002  6.04s/step  eta 26.4h
08:22:14 step   4325  loss 0.0558  l1 0.0355  kl 0.002  6.01s/step  eta 26.2h
08:22:18 step   4350  loss 0.0538  l1 0.0338  kl 0.002  5.98s/step  eta 26.0h
08:22:21 step   4375  loss 0.0538  l1 0.0340  kl 0.002  5.94s/step  eta 25.8h
08:22:25 step   4400  loss 0.0573  l1 0.0356  kl 0.002  5.91s/step  eta 25.6h
08:22:28 step   4425  loss 0.0510  l1 0.0322  kl 0.002  5.88s/step  eta 25.4h
08:22:31 step   4450  loss 0.0526  l1 0.0331  kl 0.002  5.84s/step  eta 25.2h
08:22:34 step   4475  loss 0.0554  l1 0.0361  kl 0.002  5.81s/step  eta 25.1h
08:22:37 step   4500  loss 0.0567  l1 0.0387  kl 0.002  5.78s/step  eta 24.9h
08:22:38   val l1 0.0330 (best 0.0320)  -> last.pt
08:22:41 step   4525  loss 0.0518  l1 0.0344  kl 0.002  5.75s/step  eta 24.7h
08:22:44 step   4550  loss 0.0486  l1 0.0311  kl 0.002  5.72s/step  eta 24.5h
08:22:47 step   4575  loss 0.0493  l1 0.0315  kl 0.002  5.69s/step  eta 24.4h
08:22:50 step   4600  loss 0.0519  l1 0.0321  kl 0.002  5.66s/step  eta 24.2h
08:22:54 step   4625  loss 0.0510  l1 0.0325  kl 0.002  5.63s/step  eta 24.0h
08:22:57 step   4650  loss 0.0473  l1 0.0306  kl 0.002  5.60s/step  eta 23.9h
08:23:00 step   4675  loss 0.0494  l1 0.0342  kl 0.002  5.57s/step  eta 23.7h
08:23:03 step   4700  loss 0.0481  l1 0.0327  kl 0.002  5.54s/step  eta 23.5h
08:23:06 step   4725  loss 0.0475  l1 0.0329  kl 0.001  5.51s/step  eta 23.4h
08:23:09 step   4750  loss 0.0502  l1 0.0350  kl 0.002  5.48s/step  eta 23.2h
08:23:10   val l1 0.0376 (best 0.0320)  -> last.pt
08:23:13 step   4775  loss 0.0456  l1 0.0304  kl 0.002  5.45s/step  eta 23.1h
08:23:16 step   4800  loss 0.0465  l1 0.0315  kl 0.001  5.43s/step  eta 22.9h
08:23:19 step   4825  loss 0.0463  l1 0.0317  kl 0.001  5.40s/step  eta 22.8h
08:23:22 step   4850  loss 0.0476  l1 0.0320  kl 0.002  5.37s/step  eta 22.6h
08:23:25 step   4875  loss 0.0437  l1 0.0284  kl 0.002  5.35s/step  eta 22.5h
08:23:28 step   4900  loss 0.0451  l1 0.0316  kl 0.001  5.32s/step  eta 22.3h
08:23:31 step   4925  loss 0.0450  l1 0.0310  kl 0.001  5.29s/step  eta 22.2h
08:23:34 step   4950  loss 0.0437  l1 0.0303  kl 0.001  5.27s/step  eta 22.0h
08:23:37 step   4975  loss 0.0456  l1 0.0302  kl 0.002  5.24s/step  eta 21.9h
08:23:41 step   5000  loss 0.0421  l1 0.0279  kl 0.001  5.21s/step  eta 21.7h
08:23:42   val l1 0.0318 (best 0.0318)  *  -> last.pt
08:23:45 step   5025  loss 0.0432  l1 0.0315  kl 0.001  5.19s/step  eta 21.6h
08:23:48 step   5050  loss 0.0461  l1 0.0318  kl 0.001  5.16s/step  eta 21.4h
08:23:51 step   5075  loss 0.0474  l1 0.0321  kl 0.002  5.14s/step  eta 21.3h
08:23:54 step   5100  loss 0.0426  l1 0.0283  kl 0.001  5.12s/step  eta 21.2h
08:23:57 step   5125  loss 0.0407  l1 0.0279  kl 0.001  5.09s/step  eta 21.0h
08:24:00 step   5150  loss 0.0401  l1 0.0282  kl 0.001  5.07s/step  eta 20.9h
08:24:03 step   5175  loss 0.0397  l1 0.0273  kl 0.001  5.04s/step  eta 20.8h
08:24:06 step   5200  loss 0.0415  l1 0.0295  kl 0.001  5.02s/step  eta 20.6h
08:24:09 step   5225  loss 0.0442  l1 0.0310  kl 0.001  5.00s/step  eta 20.5h
08:24:13 step   5250  loss 0.0406  l1 0.0288  kl 0.001  4.97s/step  eta 20.4h
08:24:14   val l1 0.0242 (best 0.0242)  *  -> last.pt
08:24:17 step   5275  loss 0.0435  l1 0.0318  kl 0.001  4.95s/step  eta 20.2h
08:24:20 step   5300  loss 0.0398  l1 0.0288  kl 0.001  4.93s/step  eta 20.1h
08:24:23 step   5325  loss 0.0435  l1 0.0306  kl 0.001  4.90s/step  eta 20.0h
08:24:27 step   5350  loss 0.0403  l1 0.0281  kl 0.001  4.88s/step  eta 19.9h
08:24:30 step   5375  loss 0.0389  l1 0.0280  kl 0.001  4.86s/step  eta 19.7h
08:24:34 step   5400  loss 0.0398  l1 0.0291  kl 0.001  4.84s/step  eta 19.6h
08:24:37 step   5425  loss 0.0408  l1 0.0294  kl 0.001  4.82s/step  eta 19.5h
08:24:41 step   5450  loss 0.0397  l1 0.0279  kl 0.001  4.80s/step  eta 19.4h
08:24:44 step   5475  loss 0.0383  l1 0.0270  kl 0.001  4.77s/step  eta 19.3h
08:24:48 step   5500  loss 0.0404  l1 0.0302  kl 0.001  4.75s/step  eta 19.1h
08:24:48   val l1 0.0312 (best 0.0242)  -> last.pt
08:24:52 step   5525  loss 0.0391  l1 0.0279  kl 0.001  4.73s/step  eta 19.0h
08:24:55 step   5550  loss 0.0394  l1 0.0286  kl 0.001  4.71s/step  eta 18.9h
08:24:58 step   5575  loss 0.0384  l1 0.0279  kl 0.001  4.69s/step  eta 18.8h
08:25:02 step   5600  loss 0.0399  l1 0.0295  kl 0.001  4.67s/step  eta 18.7h
08:25:05 step   5625  loss 0.0396  l1 0.0286  kl 0.001  4.65s/step  eta 18.6h
08:25:08 step   5650  loss 0.0372  l1 0.0280  kl 0.001  4.63s/step  eta 18.5h
08:25:12 step   5675  loss 0.0381  l1 0.0284  kl 0.001  4.61s/step  eta 18.3h
08:25:15 step   5700  loss 0.0364  l1 0.0272  kl 0.001  4.59s/step  eta 18.2h
08:25:18 step   5725  loss 0.0372  l1 0.0278  kl 0.001  4.57s/step  eta 18.1h
08:25:22 step   5750  loss 0.0392  l1 0.0284  kl 0.001  4.55s/step  eta 18.0h
08:25:22   val l1 0.0262 (best 0.0242)  -> last.pt
08:25:26 step   5775  loss 0.0367  l1 0.0268  kl 0.001  4.53s/step  eta 17.9h
08:25:29 step   5800  loss 0.0363  l1 0.0277  kl 0.001  4.51s/step  eta 17.8h
08:25:32 step   5825  loss 0.0386  l1 0.0295  kl 0.001  4.50s/step  eta 17.7h
08:25:36 step   5850  loss 0.0355  l1 0.0268  kl 0.001  4.48s/step  eta 17.6h
08:25:39 step   5875  loss 0.0366  l1 0.0267  kl 0.001  4.46s/step  eta 17.5h
08:25:42 step   5900  loss 0.0394  l1 0.0299  kl 0.001  4.44s/step  eta 17.4h
08:25:45 step   5925  loss 0.0371  l1 0.0278  kl 0.001  4.42s/step  eta 17.3h
08:25:49 step   5950  loss 0.0342  l1 0.0252  kl 0.001  4.40s/step  eta 17.2h
08:25:53 step   5975  loss 0.0375  l1 0.0292  kl 0.001  4.39s/step  eta 17.1h
08:25:57 step   6000  loss 0.0355  l1 0.0275  kl 0.001  4.37s/step  eta 17.0h
